Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "UniversalPPU.brd" as of: 4/26/2014 2:09:39 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.994,1.106,0
C2,Bottom,1.994,0.516,180
C3,Bottom,1.781,0.919,180
C4,Bottom,1.781,0.991,180
C5,Bottom,0.872,0.744,90
C6,Bottom,0.900,0.591,180
C7,Top,0.053,2.047,0
C8,Top,0.741,2.062,0
C9,Top,1.141,2.066,0
C10,Top,1.519,2.053,0
C11,Top,1.941,2.050,0
C12,Top,0.044,2.269,0
C13,Top,0.741,2.281,0
C14,Top,1.141,2.272,0
C15,Top,1.519,2.269,0
C16,Top,1.950,2.272,0
C17,Top,1.850,0.425,180
C18,Bottom,1.656,0.312,0
C19,Bottom,1.597,0.312,180
C20,Bottom,1.706,1.306,270
C21,Top,1.234,0.409,90
C22,Bottom,1.678,0.938,0
C23,Top,1.091,0.425,0
C24,Bottom,0.900,1.166,180
C25,Bottom,0.306,0.725,270
C26,Bottom,0.575,0.731,270
C28,Bottom,1.512,1.050,180
C29,Bottom,1.397,1.053,180
C30,Bottom,1.569,0.863,0
C31,Bottom,1.359,0.841,270
C33,Bottom,0.212,0.400,90
C34,Bottom,0.444,0.431,90
C37,Bottom,1.228,1.312,90
C38,Bottom,0.956,1.691,0
C39,Bottom,0.600,1.359,270
C40,Bottom,1.084,1.059,180
C41,Bottom,0.963,1.062,0
C42,Bottom,1.241,1.059,180
C43,Bottom,1.209,1.372,270
C44,Bottom,0.900,1.669,180
C45,Bottom,0.719,1.309,90
C46,Bottom,0.963,1.137,0
C47,Bottom,0.900,1.597,180
C48,Bottom,0.641,1.309,90
C49,Bottom,1.184,1.688,180
C50,Bottom,1.016,1.691,0
C51,Bottom,0.675,1.691,0
C52,Bottom,0.600,1.197,90
C53,Bottom,0.597,1.413,270
C54,Bottom,0.597,1.472,270
C55,Bottom,1.228,1.141,270
C56,Bottom,1.228,1.559,270
C57,Bottom,1.150,1.559,270
C58,Bottom,0.619,1.059,180
C59,Bottom,0.884,1.062,180
C60,Bottom,1.169,1.059,0
C61,Bottom,1.428,1.278,90
C62,Top,1.953,1.366,0
C63,Bottom,0.662,0.069,270
C68,Bottom,0.512,2.284,180
C69,Bottom,1.428,0.241,90
C70,Bottom,1.225,0.131,270
C71,Bottom,0.581,2.053,180
D1,Top,1.947,1.234,0
D2,Top,1.947,1.184,0
D3,Top,1.337,0.475,0
D4,Top,0.106,1.812,90
D8,Top,0.691,0.441,90
D9,Top,0.741,0.441,90
R1,Top,0.069,0.141,0
R2,Top,1.806,1.234,180
R3,Top,1.806,1.184,180
R4,Top,1.859,0.647,90
R5,Top,1.925,0.647,270
R6,Bottom,0.269,1.156,180
R7,Top,1.350,1.853,270
R8,Bottom,1.281,1.750,0
R9,Bottom,1.137,1.122,0
R10,Top,1.306,0.922,270
R11,Top,1.163,0.512,90
R12,Bottom,1.981,0.059,0
R13,Bottom,1.831,0.059,180
R14,Bottom,1.675,0.059,180
R15,Bottom,0.272,1.256,180
R16,Bottom,0.272,1.356,180
R17,Bottom,0.444,2.584,90
R18,Bottom,0.444,2.747,90
R19,Bottom,0.269,1.059,180
R20,Bottom,0.266,0.956,180
R21,Bottom,0.263,0.853,180
R22,Top,1.234,0.497,90
R23,Top,0.806,0.278,180
R24,Top,0.797,0.334,180
R27,Top,0.106,1.669,90
R28,Bottom,0.338,2.584,90
R29,Bottom,0.338,2.747,90
R30,Bottom,0.338,2.909,270
R31,Bottom,0.444,2.909,270
R32,Bottom,0.550,2.584,90
R33,Bottom,0.550,2.747,90
R34,Bottom,0.550,2.909,270
R35,Bottom,0.656,2.584,90
R36,Bottom,0.656,2.747,90
R37,Bottom,0.656,2.909,270
R38,Bottom,0.769,2.584,90
R39,Bottom,0.769,2.747,90
R40,Bottom,0.769,2.909,270
R41,Bottom,0.875,2.584,90
R42,Bottom,0.875,2.747,90
R43,Bottom,0.875,2.909,270
R44,Bottom,0.981,2.584,90
R45,Bottom,0.981,2.747,90
R46,Bottom,0.981,2.909,270
R47,Bottom,1.087,2.584,90
R48,Bottom,1.087,2.747,90
R49,Bottom,1.087,2.909,270
U1,Top,0.237,2.159,90
U2,Top,1.328,2.166,90
U3,Top,0.925,2.169,90
U4,Top,1.706,2.159,90
U5,Top,2.144,2.159,90
U6,Top,0.931,0.650,180
U7,Top,0.331,0.419,180
U8,Top,0.878,0.131,180
U9,Top,1.759,0.963,90
U10,Top,0.912,1.375,90
U11,Top,1.341,0.159,0
U12,Top,1.569,1.316,180
U13,Top,0.441,0.744,180
U15,Top,0.572,2.212,90
U17,Top,1.500,0.916,270
U18,Top,1.384,0.916,270
U19,Top,1.709,0.528,90
Y1,Top,1.891,1.669,270
